bin,mean_pred_prob,observed_rate,n
"(0.0272, 0.0576]",0.04775815405977283,0.046811945117029866,1239
"(0.0576, 0.072]",0.06503567841227659,0.07183212267958031,1239
"(0.072, 0.084]",0.07798846846799028,0.0717741935483871,1240
"(0.084, 0.0965]",0.09055705813450064,0.09208400646203554,1238
"(0.0965, 0.109]",0.10233836415867299,0.10250201775625505,1239
"(0.109, 0.126]",0.11730740794205036,0.11864406779661017,1239
"(0.126, 0.144]",0.1338074529782611,0.1275221953188055,1239
"(0.144, 0.175]",0.1584636792888296,0.1694915254237288,1239
"(0.175, 0.236]",0.20291973734917593,0.20258272800645682,1239
"(0.236, 0.563]",0.3032501560409341,0.29620661824051653,1239
